Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku
3.43e-01,7.5468e-01,69.9,2.3598615916955,0.964014089230103,1.57772432457022,2.93146527723019,0.394400754954389,0.257066542093624,1.27292628153843,1.74100533648145,235,113.981818181818,40.096923894298,1.8749655190593,4.13940153062586
1.42e-01,8.7154e-01,9.5,1.11072664359862,0.313793330069333,2.5681104203892,7.18061002013066,0.0385026737967914,0.116218846692672,3.05340839324659,10.6358545817315,32,11.1272727272727,4.7979334394358,1.64786600763175,3.14374921176241
4.72e-01,7.4997e-01,80.2,2.44636678200692,0.954716366005841,1.46011122269793,2.40881374565907,0.410254797106009,0.25483079711547,1.3385403527342,1.91614773056944,240,118.563636363636,35.1183783205855,2.01706934334843,5.0650294299908
5.04e-01,7.0545e-01,32.9,1.43944636678201,0.652889005384415,1.88764957317538,5.16780256095652,0.129726329034288,0.196866229175821,1.65102811606575,3.39785981794326,105,37.4909090909091,9.76240046350882,1.59467908306428,2.97898243340699
1.80e-01,8.4558e-01,38.8,1.32871972318339,0.538393182555985,1.83650838193072,5.1135256030179,0.11399811261403,0.193026494104947,1.68850145779776,3.44993688388248,86,32.9454545454545,15.2499397099472,1.37043993786264,2.14147278861372
2.15e-01,8.1663e-01,56.0,2.05882352941176,0.899826972986962,1.58338054013765,3.03251812586748,0.324693299779805,0.258874753827482,1.26811643575429,1.72036960322953,202,93.8363636363636,35.297573254913,1.89447940104052,4.14612785446079
3.48e-01,8.0462e-01,14.7,1.17647058823529,0.415945165403851,2.39326182649098,7.45218611111122,0.0518402013211702,0.130255797436179,2.6938725821733,8.77177338932695,47,14.9818181818182,5.60354079323847,1.59384945986715,2.92280978676038
5.84e-01,7.1694e-01,42.0,1.86505190311419,0.859985161659738,1.61887731568819,3.2035593722428,0.248254167977351,0.249313502634477,1.29414889566747,1.85333434314108,176,71.7454545454545,23.5775071408155,1.89002186781608,4.33469328080223
3.54e-01,7.4527e-01,53.2,2.05882352941176,0.880389973358575,1.79821137135601,4.31107473914044,0.284366152878264,0.228373113154875,1.32882664049404,1.92447127177584,209,82.1818181818182,35.1894048667498,1.47538622757551,2.41646513146473
4.29e-01,7.7614e-01,62.8,1.85121107266436,0.889387791702611,1.71910861579708,3.67312433696837,0.231896822900283,0.240181513841056,1.34250561613344,2.01591582882478,172,67.0181818181818,28.4019787461053,1.56578464560785,2.71495610948412
2.73e-01,8.1246e-01,71.6,2.2318339100346,0.97984379806574,1.59711689737779,3.0369014747188,0.330040893362693,0.247826898392583,1.28599123585029,1.76701115047693,218,95.3818181818182,33.951564917255,1.94496372257703,4.3631546805617
1.45e-01,8.1497e-01,22.8,1.53979238754325,0.710261873688436,1.84161846217327,5.07054988830045,0.150802139037433,0.20718871605277,1.63794456631911,3.32680511822844,125,43.5818181818182,13.4943636841338,1.98930746246592,4.93529463321322
2.10e-01,8.2654e-01,40.6,1.57439446366782,0.687633017093947,1.53915377867056,3.12153717828976,0.173136206354199,0.216835797183048,1.48254408990092,2.66591036810356,135,50.0363636363636,16.0736527911233,1.91493219890855,4.43073517531975
7.25e-01,8.0220e-01,14.0,1.07266435986159,0.259584765861745,3.34471004806367,11.8813749950644,0.0291915696759987,0.112655565488571,3.95421784316095,16.9317880479013,21,8.43636363636364,2.93420973634461,1.32991951686484,1.9357244185914
4.86e-01,7.4094e-01,15.6,1.15570934256055,0.390160465545465,2.52695721558367,8.19198132839679,0.0513368983957219,0.137190530544912,2.79181317605332,9.14944117413568,42,14.8363636363636,6.79241190624746,1.50767292660915,2.48623621456708
2.84e-01,7.9471e-01,102.1,2.33910034602076,0.96794321605942,1.72456078385954,3.7676340781207,0.390374331550803,0.249983842310081,1.32882830305298,1.89620582131598,238,112.818181818182,35.4062608275023,1.81640425690214,4.22379738533968
2.29e-01,7.8149e-01,96.8,2.88927335640138,1.21475465990207,1.58988885644432,3.17725904139876,0.485561497326203,0.256844869683716,1.43938434825481,2.28918469748766,252,140.327272727273,43.7493083770598,1.84939139217951,4.23051899225924
4.74e-01,7.3619e-01,70.3,2.26989619377163,1.05710333613735,1.68173932492588,3.61401899708041,0.33960364894621,0.258812641005688,1.26747439776314,1.7124768394626,214,98.1454545454545,26.6338255073698,1.9903319179035,5.1007066565267
3.51e-01,7.7179e-01,21.0,1.22837370242215,0.435958696339428,1.77200733437613,4.06541420065461,0.0765649575338157,0.159956972421852,2.16907767231515,5.65262678482581,64,22.1272727272727,11.0355698381594,1.4132289450443,2.24071168115559
2.32e-02,9.6336e-01,11.6,1.78546712802768,0.754912314021045,1.51983093249988,2.75677220991596,0.242592010066059,0.224566044206034,1.30877641039385,1.90543358250846,174,70.1090909090909,44.0502492933913,1.27095562588869,1.66438915617412
2.51e-01,8.1463e-01,71.9,2.280276816609,1.012546855432,1.61821684583042,3.10556602347395,0.370556778861278,0.26356667623165,1.27247498936166,1.71391353463147,222,107.090909090909,41.010984216991,1.85538774161161,3.98363164311162
5.34e-01,7.2500e-01,61.6,2.41868512110727,1.04953293343274,1.58415481235828,3.06172222147559,0.397735136835483,0.251606444542058,1.33408385473886,1.91413054345147,232,114.945454545455,29.353902129835,1.54111423175026,2.74630639096587
1.73e-02,9.7364e-01,22.1,1.79930795847751,0.73555257008746,1.55987511442783,2.90278005612911,0.229569046870085,0.202813125358203,1.31222630585137,1.95294250896469,181,66.3454545454545,53.5673639386786,1.20673848015379,1.55884114446317
3.45e-01,7.7492e-01,61.5,2.3840830449827,1.02286452712683,1.53649052969304,2.81471741930656,0.409059452658069,0.257165879116894,1.32320743877075,1.86931690848259,230,118.218181818182,38.4327941922193,1.70662227431136,3.51997684587324
2.65e-01,8.4590e-01,38.0,1.75086505190311,0.81944846785969,1.68120017796401,3.83170888193411,0.237433155080214,0.256884948465216,1.2323817381463,1.65702515864787,158,68.6181818181818,28.8598437021477,1.27150748154613,1.76433395983666
5.19e-01,7.7930e-01,40.5,1.43252595155709,0.630631737018381,1.66713876355652,3.80535454048763,0.137527524378736,0.205523169547352,1.5325925053364,2.80884757010604,104,39.7454545454545,14.3390353191663,1.43687072566344,2.31222450883924
3.30e-01,7.8924e-01,53.6,2.2076124567474,0.983502765954767,1.68426263210482,3.68506284578187,0.376281849638252,0.269534003794126,1.26075249780765,1.6708718510261,214,108.745454545455,36.1115535185162,2.05331828733183,5.00672412308098
3.24e-01,7.6824e-01,53.2,2.46020761245675,0.994435012939182,1.60895195597473,3.21728853757288,0.388675684177415,0.249896634007663,1.30290629402728,1.81347302755016,239,112.327272727273,41.0551976757919,1.46510781448096,2.57745110610752
2.50e-01,8.1973e-01,64.6,1.88581314878893,0.769738718780882,1.54498666367022,2.73634579571148,0.278829820698333,0.239339179336338,1.24655963476848,1.66545691579554,192,80.5818181818182,36.4221166121959,1.48912534715124,2.49225295951691
1.43e-02,9.7237e-01,12.7,1.17647058823529,0.407541366486794,2.29035653662899,6.81002242476865,0.0547341931424976,0.130564402639966,2.39388607409676,6.91847055522483,48,15.8181818181818,7.73208406362361,1.45414667855694,2.27195834892964
3.03e-01,8.2167e-01,19.0,1.16608996539792,0.407658864360502,2.5108795956818,8.14382704138134,0.0508965083359547,0.133112592760153,2.75742032944573,8.93531536934539,44,14.7090909090909,5.98383497363819,1.45884401764641,2.38509710859671
4.45e-01,7.0128e-01,39.6,1.87543252595156,0.879437479329444,1.51322875770419,2.78587189336632,0.231016042780749,0.232142234141241,1.32126760471677,1.97999950070598,171,66.7636363636364,13.1922341293018,1.59101491493456,2.84298924942304
5.92e-01,7.8639e-01,40.6,1.50173010380623,0.696628397632395,1.73936072859133,4.17526528140327,0.16709657124882,0.234949998415061,1.46799788114874,2.55474404830128,115,48.2909090909091,13.3548394051441,1.92728742836468,4.76103519677165
5.36e-03,9.9081e-01,16.4,1.43944636678201,0.62027539206579,1.63841852463673,3.74011786656545,0.15426234664989,0.218935940961566,1.43604899021163,2.47403625941284,108,44.5818181818182,21.2557508018127,1.43768273076527,2.3073732143792
4.64e-01,7.5341e-01,46.1,1.54671280276817,0.695062609916978,1.73791076509237,4.23395377760018,0.17867253853413,0.226806945115361,1.34998935425057,2.09961415562497,129,51.6363636363636,14.933018493336,1.55725530048195,2.89326751004527
4.51e-01,7.5182e-01,49.9,1.7923875432526,0.83509370544212,1.61273112316061,3.3033059644774,0.24447939603649,0.250156332338327,1.24487433109347,1.71662675726416,164,70.6545454545455,19.5710530044369,1.73411947131903,4.1711713175691
4.01e-01,7.2153e-01,75.7,2.79930795847751,1.13814008051638,1.54397500670377,2.75472613131149,0.464422774457377,0.247915521267033,1.43176001596022,2.25773392120051,252,134.218181818182,38.3920876834565,2.22603833682994,6.19244366826115
5.12e-01,7.2004e-01,44.4,2.10726643598616,0.994230311200995,1.50114675162547,2.66410963192153,0.30915382195659,0.260407484827391,1.23974567307559,1.63700173409317,194,89.3454545454545,24.3379375997961,1.84074178769805,4.50783532045998
4.44e-01,7.1107e-01,48.2,1.81314878892734,0.802051941561271,1.76679503425432,4.11905448920427,0.236300723497955,0.232189031716563,1.33387229212878,1.99768742981037,177,68.2909090909091,15.9825731541607,2.17190177391578,6.44841847563328
6.72e-01,7.3791e-01,91.9,2.78892733564014,1.059027051476,1.67786962772271,3.4921249372058,0.4792702107581,0.235086379842702,1.47446808411929,2.44073834717052,261,138.509090909091,29.1403330156754,1.65245851427916,3.31967471182235
6.72e-01,7.5758e-01,75.3,2.16608996539792,0.977298872061066,1.43769666324102,2.29495015366323,0.354765649575339,0.27454819939185,1.19828241201111,1.50127671243752,205,102.527272727273,24.5984881615662,1.74227799894421,3.73470335729377
1.52e-01,8.4292e-01,78.6,2.38062283737024,0.956007209744777,1.73571815978777,4.1519116467842,0.411638880150992,0.241177239868495,1.39872402013482,2.11427009604541,241,118.963636363636,48.2474544354843,1.55605138243012,2.68379321883136
3.93e-01,7.6796e-01,74.4,1.80968858131488,0.799075746313904,1.70345683018228,3.69395934632128,0.264988990248506,0.250159148677736,1.26072360318897,1.76550842824471,176,76.5818181818182,24.2814488927366,2.04560145854587,5.14631940918996
2.28e-01,8.4340e-01,45.0,1.67474048442907,0.747372804644549,1.52094555920277,2.90577439400278,0.207297892419,0.233624213906967,1.31650203016545,1.96619978695844,150,59.9090909090909,24.9452292595181,1.58489518231528,2.87224302340795
2.28e-01,8.0528e-01,76.2,2.51903114186851,1.04591035613891,1.58497430047895,3.03642805229151,0.437936458005662,0.254421480100882,1.37658770873444,2.04775459058735,243,126.563636363636,49.2251833687387,1.59332021915554,3.13169932013934
3.85e-02,9.4133e-01,23.7,1.8961937716263,0.850169560024151,1.58695091868521,3.18042381737157,0.251588549858446,0.235564638852923,1.31813613129954,1.94654697505145,181,72.7090909090909,24.7905207156964,1.99816397346622,4.68561788468518
4.09e-01,7.3665e-01,38.8,2.3356401384083,0.96736167179791,1.5245294189393,2.6957046018168,0.365272098144071,0.251929352701875,1.30219436622045,1.79764315885877,230,105.563636363636,32.3339189404809,2.16289827229408,5.6556360733052
2.61e-01,7.6954e-01,67.6,2.16608996539792,0.980833064571513,1.49525721459578,2.57113966701655,0.289210443535703,0.233288676606697,1.27652497242331,1.74152787127489,206,83.5818181818182,37.6639161335143,1.41855555428006,2.23607055286463
5.19e-01,7.4186e-01,89.0,2.50519031141869,1.02265380825205,1.57214879393314,2.93987029084822,0.436111984900913,0.251011154564796,1.38918558158891,2.09321970645138,243,126.036363636364,33.3717156430214,1.61388641371627,3.06383403218989
5.37e-01,7.1657e-01,68.7,2.73702422145329,1.10364893500228,1.52040117451335,2.65229646497608,0.453413022963196,0.246065737701751,1.43761941513265,2.26177001280156,250,131.036363636364,27.267672258798,1.54939537717559,2.72086136244223
1.30e-01,8.6453e-01,14.4,1.19377162629758,0.436836650550454,2.30350432948463,6.95967410672803,0.0688266750550488,0.163844888149568,2.39552200843843,6.64320551320067,51,19.8909090909091,11.1627183513576,1.20773038760419,1.56739557111938
1.91e-01,8.1572e-01,75.2,2.30103806228374,0.931586600218663,1.53809886455098,2.71209722914729,0.398678829820699,0.24942376680298,1.31815809521173,1.87236033747594,233,115.218181818182,52.363308079779,1.41904387304898,2.21154972581911
5.18e-01,6.9979e-01,59.4,2.54671280276817,1.01138737348647,1.55381276194291,2.86395751542001,0.418370556778861,0.240912429679171,1.36676857280481,2.02507832167536,248,120.909090909091,26.2091397849007,2.37496918513227,7.94113626603858
4.92e-01,8.2584e-01,33.4,1.53979238754325,0.690500013262675,1.57141734798578,3.27242903828711,0.177288455489148,0.229949166217222,1.36841500876567,2.18502029748547,125,51.2363636363636,14.4486094157738,1.68240450670854,3.69038729903652
6.65e-02,9.0181e-01,57.0,2.59515570934256,1.01823039723069,1.51513470337427,2.68746390878852,0.475935828877005,0.256965087274985,1.43006498253352,2.24555075903004,248,137.545454545455,53.2636045555305,1.63066123590072,3.17054734650556
1.99e-01,7.8476e-01,125.4,2.95501730103806,1.07248575363135,1.6119253808967,2.97932905918115,0.448946209499843,0.23244653092713,1.35590274631546,2.01702585411974,270,129.745454545455,46.0494667551075,1.59144551040947,2.70846306537071
4.66e-02,9.2794e-01,28.3,1.48096885813149,0.655414839233085,1.58668932076241,3.36107214682326,0.167411135577226,0.227140051245486,1.39018637536944,2.29257191406081,114,48.3818181818182,22.5819645727944,1.42748867976366,2.33198495317564
3.91e-01,8.1928e-01,46.0,1.80276816608997,0.823020400397847,1.60842521381935,3.28315147996955,0.241145014155395,0.242391767922278,1.22773666701793,1.62271152682367,168,69.6909090909091,24.7348651445487,1.38544567723152,2.26105177478924
1.49e-01,8.4111e-01,38.9,1.82006920415225,0.86581281413526,1.68621646639385,3.64317297469249,0.244290657439447,0.252173067480741,1.30547889217284,1.9227337982337,167,70.6,24.30308622377,1.66217996821466,3.34905292138586
5.14e-01,7.1731e-01,21.9,1.19377162629758,0.420696361779267,2.12640493711329,5.91812045238628,0.0716577540106952,0.162538697253586,2.21745820790359,5.76604277854593,53,20.7090909090909,5.68785860734864,1.78088524339053,4.13667803933983
6.16e-01,7.3067e-01,53.2,2.37370242214533,1.01824215583426,1.65237358673952,3.39737715267145,0.359672853098459,0.250091959262426,1.32191451118644,1.86440043476956,232,103.945454545455,17.9082694781623,1.74913447813576,3.7576284328039
4.59e-01,7.9480e-01,94.1,2.29065743944637,0.851590766864789,1.59098398254369,2.95438615313707,0.353318653664675,0.218283855389487,1.34846453936671,1.95736257266693,242,102.109090909091,42.0941251471132,1.63924755928967,3.0965174697259
5.75e-01,7.0470e-01,73.7,2.07266435986159,0.855420430115622,1.42981550223996,2.24985396858412,0.318716577540107,0.244379760998279,1.22988833465112,1.57876968388644,206,92.1090909090909,24.5739497896546,1.64677030176328,3.28337794111872
4.13e-01,7.6419e-01,67.7,2.42214532871972,1.05963738312871,1.69582775785915,3.56967111421478,0.363133060710915,0.242051198488011,1.33223597198459,1.90490358207746,235,104.945454545455,30.310765073466,1.43675371776141,2.36284748488826
5.34e-01,6.8936e-01,77.3,2.55709342560554,1.06421496397183,1.66700933017183,3.50593088619631,0.407423718150362,0.24250454280398,1.38299652577876,2.07024785924299,248,117.745454545455,28.3357905270594,2.09688685228019,5.59794161547944
2.95e-01,7.8892e-01,56.7,1.95847750865052,0.871505339887607,1.63761596130832,3.25755021986907,0.261654608367411,0.236208279112471,1.32282559985977,1.95622709047917,192,75.6181818181818,21.7351754361374,1.82809634622005,4.30749866470494
2.16e-01,8.0392e-01,75.6,2.61245674740484,1.10768806851286,1.66839127949887,3.48398729956035,0.425857187794904,0.251758659144139,1.37400372248671,2.03336232928715,245,123.072727272727,38.8506953467453,1.66854626093392,3.41092056120091
4.38e-01,7.4678e-01,40.7,2.01038062283737,0.964721768397694,1.6746811807617,3.63818832617607,0.275055048757471,0.250226842038403,1.28083219760441,1.78252822184137,187,79.4909090909091,23.413184108161,1.90396678511071,4.5818496263931
3.86e-01,7.5773e-01,94.5,2.62629757785467,1.16411175935304,1.57036916397571,3.02015169849936,0.45303554576911,0.271480861436388,1.36653079160231,2.0093011115277,235,130.927272727273,35.5230294292971,2.25423761990499,6.7719752849621
5.36e-01,7.2478e-01,88.0,2.89965397923875,1.08160134613689,1.53463174175391,2.65338746909354,0.494180559924505,0.237155118796969,1.52559137443398,2.63379945983394,259,142.818181818182,31.6486914330038,2.30054320596735,7.46669858475642
7.13e-01,8.0297e-01,76.3,2.43252595155709,1.02043863296711,1.59649317139183,3.14933866101996,0.431959735765965,0.258905376599414,1.37227577918497,2.02589496510661,233,124.836363636364,30.6871389325849,1.59794650018847,3.02878741476611
1.68e-01,8.5860e-01,29.6,1.3598615916955,0.559826945775964,1.76165348258335,4.62865927681856,0.113809374016987,0.190054217231167,1.78257169571128,3.85464937135144,93,32.8909090909091,14.2773472545883,1.554502787592,2.79498662872821
3.01e-01,8.2750e-01,78.6,2.5363321799308,1.04875690480008,1.45342031101151,2.38427838422785,0.4451085246933,0.257698854303877,1.38456585015453,2.06813172056233,242,128.636363636364,40.612297123974,1.77399049611088,3.73624468996542
1.79e-01,8.4737e-01,10.4,1.09342560553633,0.302684120811475,3.22693781982157,12.4598020518453,0.033595470273671,0.114239924856901,3.51677820676394,14.0240599039056,26,9.70909090909091,5.52571748454518,1.30758230559459,1.84274817503153
3.68e-01,7.9670e-01,33.7,1.46712802768166,0.627891832371693,1.58982539391392,3.49748767565841,0.16892104435357,0.226873092556004,1.32680147502814,2.04116742065786,115,48.8181818181818,21.9661648153294,1.34737720647132,1.98257574181569
5.66e-01,6.7589e-01,52.4,2.41176470588235,1.08783776522982,1.50820991904528,2.67680101712205,0.369109782950614,0.258555590504417,1.30883408837126,1.80880354479751,223,106.672727272727,20.4406498255133,1.66395799692826,3.2659748278234
1.07e-01,9.6655e-01,11.4,1.43252595155709,0.608288358293307,1.63758788993745,3.80112297779573,0.173702422145329,0.244219203703092,1.32718485463858,1.98118249464566,108,50.2,32.4723098822814,1.06497241446287,1.17578729607126
7.03e-01,7.2767e-01,53.0,2.17993079584775,0.960542664197512,1.5248455284715,2.73896861864641,0.350424661843347,0.268126027528496,1.22546535385883,1.5698702011815,210,101.272727272727,23.1064371554017,2.25139713993639,7.08125391465144
3.60e-01,7.8627e-01,52.3,2.06920415224914,0.942307990693763,1.78467589268683,4.05350706790526,0.334570619691727,0.258092039750226,1.23275518469828,1.60146592688151,205,96.6909090909091,36.2806598753625,1.6284125927228,3.08332685341669
1.61e-01,8.2565e-01,34.9,1.89965397923875,0.88839103698478,1.59986338274657,3.17397735084453,0.270525322428437,0.255905147640362,1.2323232016855,1.65598778036616,177,78.1818181818182,27.8222219288441,1.84980781150672,4.01017168857721
1.17e-01,8.6567e-01,45.6,2.14532871972318,0.987633209046337,1.4931926539011,2.56797993904559,0.354010695187166,0.274618586219652,1.20143404087723,1.50852811164006,202,102.309090909091,42.3989162499887,1.71271258114856,3.35765253576936
3.14e-01,7.1591e-01,32.4,1.51903114186851,0.671066209223555,1.60126026590682,3.4877592720661,0.175967285309846,0.231572593272236,1.36368372480402,2.14411182959613,123,50.8545454545455,17.2146007603674,1.79826900412999,3.96182079897962
2.08e-01,8.2550e-01,65.2,2.30103806228374,0.964436276138132,1.5095681866024,2.6263808035778,0.36458005662158,0.243428243151151,1.32647778742158,1.86611451399031,226,105.363636363636,33.9568515707072,2.28826024117297,5.94398929277191
--,0.0000e+00,6.0,1.03114186851211,0.173701043571088,5.42839910238266,30.2479180445327,0.00805284680717207,0.0515959147413982,8.03509961793745,74.868070820419,9,2.32727272727273,1.59606955253489,1.41375014223614,2.27310550210503
3.58e-01,7.9494e-01,104.0,2.66089965397924,1.03697751856717,1.52815682027998,2.69457842060233,0.449134948096886,0.241437562894781,1.4538613481102,2.32135398817639,249,129.8,40.9311617230687,1.75103091862579,3.8093700019884
6.53e-01,7.0665e-01,50.1,2.53979238754325,1.09701133400329,1.50418232574422,2.61621660927237,0.402327776030199,0.263866248929707,1.26718577652425,1.71112540159291,233,116.272727272727,22.6879660096028,1.59365972988652,3.00218470634023
4.43e-01,7.5202e-01,95.6,2.58131487889273,0.984901766211523,1.54310309692201,2.82861869240963,0.460773828247877,0.238828789549565,1.46420135636651,2.38302727301295,252,133.163636363636,41.497322426815,1.68900757846833,3.47510972416926
2.63e-02,9.6465e-01,74.1,2.3356401384083,0.807497108256243,1.48172803548507,2.48344563465803,0.384334696445423,0.2176581312608,1.42597206429715,2.18737512986114,246,111.072727272727,71.3508245592807,1.24651231802468,1.59476374313738
6.12e-01,7.0040e-01,55.7,2.58477508650519,1.03931873211377,1.80784895904937,4.41500269880872,0.435042466184335,0.242532026588494,1.37993841304951,2.08375402365764,253,125.727272727273,25.0377566127308,1.60230625217951,3.13241660388559
2.32e-01,8.3487e-01,41.2,1.93079584775087,0.85368307887196,1.57787947105902,2.97534446316316,0.279333123623781,0.248213269651441,1.21511542750236,1.58787971163137,188,80.7272727272727,35.2824728804825,1.46804836231308,2.45555230700182
9.88e-02,8.8007e-01,39.6,2.05536332179931,0.920948410750409,1.52412430831178,2.64718513613906,0.301981755268953,0.244667026497493,1.23792819729404,1.61694374611684,199,87.2727272727273,48.6159175375363,1.16549195297642,1.47751952512907
4.39e-01,7.5083e-01,28.7,1.49134948096886,0.696576834360397,1.75676890875219,4.25424575815885,0.153947782321485,0.220294733190666,1.52217593508272,2.8130180923652,112,44.4909090909091,16.8931107284196,1.5854000898407,2.96229030264095
5.96e-02,9.3331e-01,49.1,1.99653979238754,0.79138208522682,1.46516976366427,2.35103340085843,0.306134004403901,0.233393775675703,1.249261727504,1.63332428428763,205,88.4727272727273,53.957510066366,1.29144372969932,1.73998867914772
3.18e-01,7.6172e-01,55.0,2.35294117647059,1.00172860976038,1.49261789661995,2.57516506473775,0.379301667190941,0.25415073801863,1.31508069355008,1.8222838000574,225,109.618181818182,31.8259419108437,2.13644298839143,5.94074969658522
5.20e-01,7.2497e-01,52.8,1.71280276816609,0.791745104551062,1.69493048085881,3.64957753962542,0.242466184334696,0.251699460663275,1.19343012156573,1.56251041314871,156,70.0727272727273,17.2751577237421,2.23660340339646,6.8942607643333
1.50e-01,8.7330e-01,24.4,1.24567474048443,0.504502541739358,2.78989246098037,13.7468668961881,0.0898395721925133,0.182439956029706,2.02111044808402,4.97986309159764,64,25.9636363636364,13.4556019241242,1.44283161913297,2.27418634157607
5.30e-01,7.4157e-01,14.7,1.25951557093426,0.504431339630226,2.01518197494838,5.4024620047865,0.0819125511167034,0.168122906848135,2.11180127885284,5.34424488879429,66,23.6727272727273,9.46583242356817,1.45901531049474,2.42862335651078
4.62e-01,7.5334e-01,57.2,2.56401384083045,1.00011373738076,1.54930935925507,2.84370540047198,0.428499528153508,0.237762777065419,1.42057892175194,2.20065160132002,248,123.836363636364,31.0564082898807,1.98208414587403,5.4091603199393
4.80e-01,7.1536e-01,43.5,2.01730103806228,0.882183306849964,1.75140901747947,3.76659066640695,0.294558037118591,0.242250970570291,1.26698007455037,1.73957460147075,204,85.1272727272727,22.0701810722518,1.95393590763683,5.32628676915432
6.03e-02,9.0825e-01,37.5,2.20415224913495,0.91310151961581,1.48657671247467,2.47995073704219,0.329348851840202,0.249326885498146,1.21032349316462,1.55330440620918,220,95.1818181818182,53.0077493165226,1.27835548016761,1.76547929453558
