Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku
9.71e-02,8.7371e-01,50.6,1.68046357615894,0.77130820129734,1.65224091623307,3.72843650235781,0.113064166063777,0.14191404373592,1.64680474819782,3.49955937210035,312,68.290756302521,51.2826849930879,1.32311737298665,1.90041155660984
1.31e-01,8.2775e-01,106.9,3.00827814569536,1.19944703682912,1.62204466388126,3.17184978336998,0.350603817686015,0.224565326185512,1.28455904219668,1.78038554471233,555,211.764705882353,104.005131247231,1.6417947150069,2.89033431958455
9.37e-02,8.6239e-01,104.4,2.17384105960265,1.01213390793197,1.58279809728395,3.00157966975709,0.183774834437087,0.199605757128439,1.55832932687102,2.85649168215365,429,111,43.1373027756292,1.58278504019865,2.89096921894258
2.55e-01,7.5651e-01,108.1,2.53476821192053,1.09201638298671,1.59641433273652,3.05430788984449,0.277182926150593,0.216334752060824,1.33550855158832,1.99115651718527,502,167.418487394958,72.6482349735412,1.42048032451782,2.2801982200505
1.16e-01,8.4357e-01,39.4,2.80629139072848,1.17107530588134,1.65321607240917,3.33022677438686,0.319728421169793,0.207889699485337,1.34569093731164,1.98182419009207,531,193.115966386555,107.668109697881,1.48579502831645,2.39943679681389
6.36e-02,9.0815e-01,73.3,2.11258278145695,0.929950837962968,1.55050717199094,2.83486049079937,0.255061494796595,0.227837469257278,1.27221639806615,1.82883261116658,431,154.057142857143,75.710062352481,1.39737284172494,2.17560473068547
4.25e-01,7.5554e-01,217.0,2.92549668874172,1.12294503338422,1.66632187844149,3.39594178955837,0.453105348099505,0.212937483293471,1.55954882011099,2.75960124551298,554,273.675630252101,147.275779707555,1.23212835939764,1.61265908098062
2.41e-01,7.7732e-01,39.8,1.47019867549669,0.664202424860295,1.67011408198926,3.81934692339481,0.109933774834437,0.181434884777792,1.76786462622028,3.79397962605807,230,66.4,28.0340369353177,1.71926932053721,3.30381162304817
8.67e-02,8.8000e-01,7.6,1.05298013245033,0.223993834772022,4.02308165138448,16.9590219067834,0.0144637987645389,0.071097536806615,5.4294651766938,32.4623684032047,32,8.73613445378151,5.86623626482051,1.25782695613235,1.70064498048881
9.21e-02,8.8819e-01,31.6,2.01655629139073,0.927713879131526,1.64184034107125,3.41820354855563,0.208753965162225,0.219577622533743,1.2583830373346,1.72600786216123,403,126.087394957983,84.701864250437,1.0864424367399,1.21164922560233
2.65e-01,7.6327e-01,136.3,2.56953642384106,1.12473651822472,1.57401951173573,2.98467384036751,0.329926540152484,0.24781875710396,1.18903849200597,1.49734647800768,492,199.275630252101,101.133432092398,1.26768904408666,1.76503845104509
1.87e-01,8.1679e-01,29.0,1.5612582781457,0.707964907870328,1.66484605362856,3.78583904978976,0.0918303745339194,0.150128980467839,2.1200199733336,5.61152968665468,271,55.4655462184874,25.927242857285,1.5960901849277,2.81673079512837
4.01e-01,7.2620e-01,179.4,3.02152317880795,1.24533580053143,1.63398250761447,3.18505737969745,0.414536145584061,0.239772280756546,1.32376340384676,1.89519110263351,541,250.379831932773,115.033996859994,1.41963748627552,2.31391574156805
1.65e-01,7.9794e-01,89.0,2.37417218543046,1.04011993552953,1.56194425330552,2.89078506094822,0.247868551394068,0.215574650351521,1.32870031297411,1.92833922355638,475,149.712605042017,81.938631016619,1.30076700582189,1.8238777161447
3.66e-01,8.2285e-01,104.9,1.91390728476821,0.866525354550792,1.6272533671998,3.46189100263814,0.206238521898827,0.222585822275305,1.26118673164393,1.79332537419817,382,124.568067226891,57.3462429923706,1.45752235635597,2.31137727366476
1.53e-01,8.4630e-01,178.9,2.31456953642384,1.04392898638193,1.64089662982501,3.45729898435612,0.299752351271635,0.226906852236902,1.24281767184857,1.62457619318667,461,181.050420168067,111.073088870581,1.23134276773729,1.56956176855241
1.16e-01,8.7710e-01,122.5,1.82781456953642,0.851656659078814,1.59046616861669,3.21490763450172,0.159777950915466,0.191149957485706,1.45892014255164,2.57345878625827,351,96.5058823529412,53.8308076081984,1.19472768458191,1.52940776623281
3.49e-01,7.1653e-01,182.7,3.19370860927152,1.21001347258333,1.56298346822396,2.84805667415479,0.418773999666091,0.223109093673732,1.34546857998148,1.98177364526064,564,252.939495798319,109.5923525352,1.61606079971973,2.94150502328658
